Date,Price
1994-08-29,27.75
1994-09-05,27.51
1994-09-12,27.53
1994-09-19,27.3
1994-09-26,27.14
1994-10-03,26.78
1994-10-10,27.27
1994-10-17,27.45
1994-10-24,27.48
1994-10-31,27.55
1994-11-07,27.46
1994-11-14,27.38
1994-11-21,26.75
1994-11-28,26.69
1994-12-05,26.54
1994-12-12,26.69
1994-12-19,27.16
1994-12-26,27.19
1995-01-02,27.18
1995-01-09,27.36
1995-01-16,27.65
1995-01-23,27.62
1995-01-30,28.07
1995-02-06,28.51
1995-02-13,28.68
1995-02-20,28.85
1995-02-27,28.83
1995-03-06,28.86
1995-03-13,29.26
1995-03-20,29.59
1995-03-27,29.85
1995-04-03,30.0
1995-04-10,30.23
1995-04-17,30.2
1995-04-24,30.48
1995-05-01,30.94
1995-05-08,31.2
1995-05-15,31.23
1995-05-22,31.41
1995-05-29,31.6
1995-06-05,31.74
1995-06-12,31.94
1995-06-19,32.66
1995-06-26,32.59
1995-07-03,32.96
1995-07-10,33.42
1995-07-17,33.08
1995-07-24,33.54
1995-07-31,33.56
1995-08-07,33.41
1995-08-14,33.51
1995-08-21,33.6
1995-08-28,33.64
1995-09-04,34.17
1995-09-11,34.8
1995-09-18,35.04
1995-09-25,35.02
1995-10-02,35.04
1995-10-09,34.91
1995-10-16,35.31
1995-10-23,34.92
1995-10-30,35.31
1995-11-06,35.54
1995-11-13,35.85
1995-11-20,36.14
1995-11-27,36.48
1995-12-04,37.15
1995-12-11,37.39
1995-12-18,36.93
1995-12-25,37.17
1996-01-01,37.44
1996-01-08,36.81
1996-01-15,36.68
1996-01-22,37.31
1996-01-29,38.16
1996-02-05,39.26
1996-02-12,39.75
1996-02-19,39.46
1996-02-26,39.17
1996-03-04,38.7
1996-03-11,38.63
1996-03-18,39.65
1996-03-25,39.55
1996-04-01,39.65
1996-04-08,38.51
1996-04-15,39.1
1996-04-22,39.62
1996-04-29,39.35
1996-05-06,39.09
1996-05-13,40.34
1996-05-20,41.14
1996-05-27,41.05
1996-06-03,40.92
1996-06-10,40.94
1996-06-17,40.53
1996-06-24,40.82
1996-07-01,40.64
1996-07-08,39.66
1996-07-15,38.2
1996-07-22,38.35
1996-07-29,39.56
1996-08-05,40.48
1996-08-12,40.58
1996-08-19,40.84
1996-08-26,40.35
1996-09-02,40.05
1996-09-09,41.14
1996-09-16,41.95
1996-09-23,42.18
1996-09-30,42.6
1996-10-07,42.99
1996-10-14,43.36
1996-10-21,43.51
1996-10-28,43.24
1996-11-04,44.19
1996-11-11,45.28
1996-11-18,45.73
1996-11-25,46.59
1996-12-02,45.81
1996-12-09,45.46
1996-12-16,45.31
1996-12-23,46.38
1996-12-30,45.92
1997-01-06,46.39
1997-01-13,47.32
1997-01-20,48.26
1997-01-27,47.94
1997-02-03,48.31
1997-02-10,49.26
1997-02-17,50.02
1997-02-24,49.54
1997-03-03,49.31
1997-03-10,49.62
1997-03-17,48.73
1997-03-24,48.35
1997-03-31,46.85
1997-04-07,46.58
1997-04-14,46.55
1997-04-21,47.61
1997-04-28,48.94
1997-05-05,51.02
1997-05-12,51.86
1997-05-19,52.01
1997-05-26,52.24
1997-06-02,52.8
1997-06-09,54.61
1997-06-16,55.56
1997-06-23,55.21
1997-06-30,55.97
1997-07-07,56.74
1997-07-14,57.56
1997-07-21,57.67
1997-07-28,58.89
1997-08-04,58.76
1997-08-11,57.25
1997-08-18,57.09
1997-08-25,56.93
1997-09-01,57.52
1997-09-08,57.36
1997-09-15,58.62
1997-09-22,59.23
1997-09-29,59.88
1997-10-06,60.75
1997-10-13,59.45
1997-10-20,59.65
1997-10-27,55.63
1997-11-03,58.26
1997-11-10,57.39
1997-11-17,59.14
1997-11-24,59.58
1997-12-01,60.85
1997-12-08,60.5
1997-12-15,59.36
1997-12-22,59.25
1997-12-29,60.17
1998-01-05,59.62
1998-01-12,58.76
1998-01-19,60.46
1998-01-26,61.07
1998-02-02,63.07
1998-02-09,63.79
1998-02-16,64.49
1998-02-23,65.3
1998-03-02,65.5
1998-03-09,66.8
1998-03-16,68.2
1998-03-23,69.28
1998-03-30,69.67
1998-04-06,70.09
1998-04-13,69.88
1998-04-20,70.3
1998-04-27,69.18
1998-05-04,69.95
1998-05-11,70.06
1998-05-18,69.93
1998-05-25,69.01
1998-06-01,69.07
1998-06-08,69.52
1998-06-15,68.89
1998-06-22,70.75
1998-06-29,71.85
1998-07-06,72.96
1998-07-13,74.08
1998-07-20,73.15
1998-07-27,71.32
1998-08-03,68.71
1998-08-10,67.81
1998-08-17,68.26
1998-08-24,67.25
1998-08-31,62.29
1998-09-07,63.01
1998-09-14,65.03
1998-09-21,65.13
1998-09-28,64.37
1998-10-05,61.2
1998-10-12,65.15
1998-10-19,67.77
1998-10-26,68.61
1998-11-02,71.08
1998-11-09,71.45
1998-11-16,72.63
1998-11-23,74.91
1998-11-30,74.15
1998-12-07,74.42
1998-12-14,73.65
1998-12-21,76.87
1998-12-28,78.3
1999-01-04,79.4
1999-01-11,78.71
1999-01-18,79.24
1999-01-25,79.39
1999-02-01,79.93
1999-02-08,78.51
1999-02-15,78.68
1999-02-22,79.81
1999-03-01,79.3
1999-03-08,82.0
1999-03-15,83.17
1999-03-22,81.5
1999-03-29,82.62
1999-04-05,84.53
1999-04-12,85.08
1999-04-19,84.33
1999-04-26,85.56
1999-05-03,85.15
1999-05-10,85.72
1999-05-17,85.24
1999-05-24,83.29
1999-05-31,83.14
1999-06-07,83.74
1999-06-14,84.33
1999-06-21,84.83
1999-06-28,86.78
1999-07-05,89.1
1999-07-12,89.59
1999-07-19,88.49
1999-07-26,86.1
1999-08-02,84.1
1999-08-09,83.03
1999-08-16,85.03
1999-08-23,87.24
1999-08-30,85.23
1999-09-06,86.24
1999-09-13,84.79
1999-09-20,83.28
1999-09-27,81.68
1999-10-04,84.0
1999-10-11,82.74
1999-10-18,81.47
1999-10-25,84.94
1999-11-01,87.57
1999-11-08,88.32
1999-11-15,90.35
1999-11-22,90.54
1999-11-29,90.97
1999-12-06,90.57
1999-12-13,90.65
1999-12-20,92.23
1999-12-27,93.85
2000-01-03,91.57
2000-01-10,93.12
2000-01-17,93.27
2000-01-24,90.24
2000-01-31,89.48
2000-02-07,90.63
2000-02-14,88.47
2000-02-21,86.78
2000-02-28,88.02
2000-03-06,88.85
2000-03-13,90.98
2000-03-20,96.54
2000-03-27,96.75
2000-04-03,94.66
2000-04-10,92.16
2000-04-17,89.97
2000-04-24,93.0
2000-05-01,92.69
2000-05-08,90.42
2000-05-15,92.64
2000-05-22,89.49
2000-05-29,92.78
2000-06-05,94.48
2000-06-12,94.37
2000-06-19,94.44
2000-06-26,93.63
2000-07-03,94.43
2000-07-10,96.17
2000-07-17,96.58
2000-07-24,93.59
2000-07-31,93.07
2000-08-07,95.01
2000-08-14,95.88
2000-08-21,96.98
2000-08-28,97.96
2000-09-04,97.18
2000-09-11,95.78
2000-09-18,93.5
2000-09-25,93.2
2000-10-02,92.25
2000-10-09,88.56
2000-10-16,87.67
2000-10-23,89.17
2000-10-30,91.14
2000-11-06,90.74
2000-11-13,88.25
2000-11-20,86.75
2000-11-27,86.09
2000-12-04,87.55
2000-12-11,87.28
2000-12-18,84.43
2000-12-25,85.74
2001-01-01,85.42
2001-01-08,84.72
2001-01-15,86.76
2001-01-22,87.79
2001-01-29,88.62
2001-02-05,86.84
2001-02-12,85.39
2001-02-19,81.98
2001-02-26,80.89
2001-03-05,81.3
2001-03-12,76.91
2001-03-19,73.61
2001-03-26,75.0
2001-04-02,73.66
2001-04-09,75.32
2001-04-16,78.94
2001-04-23,80.2
2001-04-30,81.61
2001-05-07,81.86
2001-05-14,82.72
2001-05-21,84.49
2001-05-28,82.33
2001-06-04,82.97
2001-06-11,80.39
2001-06-18,79.91
2001-06-25,79.71
2001-07-02,79.31
2001-07-09,78.02
2001-07-16,79.13
2001-07-23,77.77
2001-07-30,79.37
2001-08-06,77.84
2001-08-13,77.03
2001-08-20,76.56
2001-08-27,75.36
2001-09-03,73.26
2001-09-10,71.06
2001-09-17,65.24
2001-09-24,68.26
2001-10-01,69.28
2001-10-08,70.6
2001-10-15,71.04
2001-10-22,71.48
2001-10-29,70.69
2001-11-05,73.25
2001-11-12,73.73
2001-11-19,75.03
2001-11-26,75.2
2001-12-03,75.57
2001-12-10,74.71
2001-12-17,74.85
2001-12-24,75.94
2001-12-31,76.08
2002-01-07,76.38
2002-01-14,74.86
2002-01-21,74.27
2002-01-28,73.06
2002-02-04,72.29
2002-02-11,73.13
2002-02-18,71.7
2002-02-25,73.38
2002-03-04,76.0
2002-03-11,76.65
2002-03-18,76.32
2002-03-25,75.41
2002-04-01,74.81
2002-04-08,73.6
2002-04-15,73.69
2002-04-22,72.33
2002-04-29,71.28
2002-05-06,70.53
2002-05-13,71.45
2002-05-20,71.99
2002-05-27,70.78
2002-06-03,68.9
2002-06-10,66.84
2002-06-17,67.06
2002-06-24,64.77
2002-07-01,63.93
2002-07-08,62.77
2002-07-15,58.67
2002-07-22,54.05
2002-07-29,58.53
2002-08-05,57.97
2002-08-12,60.15
2002-08-19,62.85
2002-08-26,61.79
2002-09-02,58.96
2002-09-09,59.98
2002-09-16,57.89
2002-09-23,55.68
2002-09-30,54.87
2002-10-07,53.69
2002-10-14,57.18
2002-10-21,59.22
2002-10-28,59.16
2002-11-04,60.59
2002-11-11,59.39
2002-11-18,61.06
2002-11-25,61.91
2002-12-02,61.73
2002-12-09,60.02
2002-12-16,59.86
2002-12-23,59.35
2002-12-30,59.52
2003-01-06,61.58
2003-01-13,61.36
2003-01-20,59.05
2003-01-27,57.13
2003-02-03,56.61
2003-02-10,55.31
2003-02-17,56.44
2003-02-24,55.84
2003-03-03,55.76
2003-03-10,54.73
2003-03-17,57.72
2003-03-24,58.34
2003-03-31,58.05
2003-04-07,59.11
2003-04-14,59.28
2003-04-21,60.68
2003-04-28,61.52
2003-05-05,62.49
2003-05-12,63.18
2003-05-19,62.27
2003-05-26,63.66
2003-06-02,66.31
2003-06-09,66.51
2003-06-16,67.49
2003-06-23,66.06
2003-06-30,65.95
2003-07-07,67.21
2003-07-14,67.22
2003-07-21,66.59
2003-07-28,66.94
2003-08-04,65.63
2003-08-11,66.42
2003-08-18,67.72
2003-08-25,67.3
2003-09-01,68.8
2003-09-08,68.96
2003-09-15,69.43
2003-09-22,68.52
2003-09-29,68.65
2003-10-06,70.2
2003-10-13,70.79
2003-10-20,69.97
2003-10-27,70.57
2003-11-03,71.38
2003-11-10,71.42
2003-11-17,70.52
2003-11-24,71.28
2003-12-01,72.42
2003-12-08,72.23
2003-12-15,73.26
2003-12-22,74.17
2003-12-29,75.22
2004-01-05,76.28
2004-01-12,76.61
2004-01-19,77.64
2004-01-26,77.62
2004-02-02,77.09
2004-02-09,78.13
2004-02-16,78.25
2004-02-23,77.53
2004-03-01,78.58
2004-03-08,77.17
2004-03-15,75.95
2004-03-22,75.03
2004-03-29,77.0
2004-04-05,77.93
2004-04-12,77.42
2004-04-19,77.01
2004-04-26,76.86
2004-05-03,75.91
2004-05-10,74.43
2004-05-17,74.68
2004-05-24,75.71
2004-05-31,76.67
2004-06-07,77.65
2004-06-14,77.3
2004-06-21,77.69
2004-06-28,77.6
2004-07-05,76.38
2004-07-12,76.05
2004-07-19,75.34
2004-07-26,74.78
2004-08-02,74.4
2004-08-09,73.38
2004-08-16,74.31
2004-08-23,75.59
2004-08-30,76.09
2004-09-06,76.9
2004-09-13,77.28
2004-09-20,76.92
2004-09-27,76.79
2004-10-04,77.81
2004-10-11,76.65
2004-10-18,76.08
2004-10-25,76.43
2004-11-01,79.12
2004-11-08,80.79
2004-11-15,80.98
2004-11-22,81.13
2004-11-29,81.68
2004-12-06,81.6
2004-12-13,82.64
2004-12-20,83.04
2004-12-27,83.6
2005-01-03,82.81
2005-01-10,81.84
2005-01-17,81.6
2005-01-24,80.86
2005-01-31,82.25
2005-02-07,82.99
2005-02-14,83.36
2005-02-21,82.98
2005-02-28,83.88
2005-03-07,84.07
2005-03-14,82.75
2005-03-21,81.72
2005-03-28,81.56
2005-04-04,81.83
2005-04-11,80.84
2005-04-18,79.76
2005-04-25,80.0
2005-05-02,80.97
2005-05-09,80.75
2005-05-16,81.51
2005-05-23,82.9
2005-05-30,83.33
2005-06-06,83.45
2005-06-13,83.81
2005-06-20,83.82
2005-06-27,83.25
2005-07-04,83.4
2005-07-11,85.2
2005-07-18,85.56
2005-07-25,86.16
2005-08-01,86.13
2005-08-08,85.95
2005-08-15,85.54
2005-08-22,84.91
2005-08-29,84.78
2005-09-05,86.12
2005-09-12,86.18
2005-09-19,85.32
2005-09-26,85.33
2005-10-03,84.43
2005-10-10,82.71
2005-10-17,82.83
2005-10-24,83.37
2005-10-31,84.88
2005-11-07,85.86
2005-11-14,86.75
2005-11-21,88.24
2005-11-28,88.3
2005-12-05,88.53
2005-12-12,88.82
2005-12-19,88.69
2005-12-26,88.36
2006-01-02,88.91
2006-01-09,90.55
2006-01-16,89.58
2006-01-23,89.45
2006-01-30,89.61
2006-02-06,89.1
2006-02-13,89.68
2006-02-20,90.65
2006-02-27,90.75
2006-03-06,90.1
2006-03-13,91.38
2006-03-20,91.9
2006-03-27,91.75
2006-04-03,92.01
2006-04-10,91.15
2006-04-17,91.7
2006-04-24,92.22
2006-05-01,92.84
2006-05-08,92.44
2006-05-15,90.26
2006-05-22,89.32
2006-05-29,90.15
2006-06-05,89.18
2006-06-12,87.76
2006-06-19,88.34
2006-06-26,89.07
2006-07-03,90.13
2006-07-10,88.7
2006-07-17,88.14
2006-07-24,89.52
2006-07-31,90.74
2006-08-07,90.33
2006-08-14,91.3
2006-08-21,92.05
2006-08-28,92.58
2006-09-04,92.57
2006-09-11,92.83
2006-09-18,93.9
2006-09-25,94.35
2006-10-02,95.42
2006-10-09,96.47
2006-10-16,97.2
2006-10-23,98.03
2006-10-30,97.51
2006-11-06,98.25
2006-11-13,99.23
2006-11-20,100.07
2006-11-27,99.37
2006-12-04,100.57
2006-12-11,101.14
2006-12-18,101.5
2006-12-25,101.47
2007-01-01,101.39
2007-01-08,101.48
2007-01-15,102.29
2007-01-22,102.22
2007-01-29,102.62
2007-02-05,103.36
2007-02-12,103.5
2007-02-19,104.32
2007-02-26,101.66
2007-03-05,99.78
2007-03-12,99.55
2007-03-19,101.69
2007-03-26,102.14
2007-04-02,102.75
2007-04-09,103.74
2007-04-16,105.82
2007-04-23,106.78
2007-04-30,107.38
2007-05-07,108.57
2007-05-14,108.68
2007-05-21,109.34
2007-05-28,109.88
2007-06-04,109.05
2007-06-11,108.97
2007-06-18,109.52
2007-06-25,108.17
2007-07-02,109.7
2007-07-09,110.44
2007-07-16,111.3
2007-07-23,108.2
2007-07-30,105.63
2007-08-06,105.8
2007-08-13,102.46
2007-08-20,105.25
2007-08-27,105.38
2007-09-03,106.56
2007-09-10,106.03
2007-09-17,109.01
2007-09-24,110.12
2007-10-01,111.91
2007-10-08,113.17
2007-10-15,111.02
2007-10-22,109.62
2007-10-29,110.42
2007-11-05,107.7
2007-11-12,106.29
2007-11-19,104.15
2007-11-26,105.36
2007-12-03,108.0
2007-12-10,108.79
2007-12-17,106.03
2007-12-24,108.12
2007-12-31,105.18
2008-01-07,102.3
2008-01-14,99.51
2008-01-21,95.79
2008-01-28,99.04
2008-02-04,98.81
2008-02-11,98.11
2008-02-18,98.39
2008-02-25,99.13
2008-03-03,96.01
2008-03-10,95.28
2008-03-17,95.05
2008-03-24,97.77
2008-03-31,98.57
2008-04-07,99.5
2008-04-14,99.61
2008-04-21,101.41
2008-04-28,102.81
2008-05-05,102.82
2008-05-12,103.17
2008-05-19,103.25
2008-05-26,102.02
2008-06-02,101.53
2008-06-09,99.29
2008-06-16,98.31
2008-06-23,95.9
2008-06-30,93.58
2008-07-07,92.14
2008-07-14,90.74
2008-07-21,93.52
2008-07-28,92.79
2008-08-04,93.78
2008-08-11,95.43
2008-08-18,94.56
2008-08-25,94.6
2008-09-01,93.05
2008-09-08,91.99
2008-09-15,89.03
2008-09-22,89.82
2008-09-29,84.81
2008-10-06,70.81
2008-10-13,71.13
2008-10-20,67.81
2008-10-27,67.5
2008-11-03,70.7
2008-11-10,65.78
2008-11-17,60.33
2008-11-24,63.14
2008-12-01,63.06
2008-12-08,65.76
2008-12-15,66.19
2008-12-22,65.02
2008-12-29,66.84
2009-01-05,67.13
2009-01-12,63.7
2009-01-19,61.64
2009-01-26,63.53
2009-02-02,61.63
2009-02-09,63.02
2009-02-16,59.26
2009-02-23,57.3
2009-03-02,52.65
2009-03-09,54.03
2009-03-16,58.41
2009-03-23,60.77
2009-03-30,61.13
2009-04-06,62.92
2009-04-13,64.4
2009-04-20,63.95
2009-04-27,65.34
2009-05-04,68.28
2009-05-11,67.78
2009-05-18,68.08
2009-05-25,68.44
2009-06-01,70.85
2009-06-08,71.12
2009-06-15,69.51
2009-06-22,68.48
2009-06-29,69.2
2009-07-06,66.9
2009-07-13,68.86
2009-07-20,72.73
2009-07-27,74.42
2009-08-03,76.13
2009-08-10,76.03
2009-08-17,76.1
2009-08-24,78.01
2009-08-31,76.69
2009-09-07,78.54
2009-09-14,79.87
2009-09-21,80.59
2009-09-28,79.41
2009-10-05,79.73
2009-10-12,82.25
2009-10-19,82.75
2009-10-26,80.83
2009-11-02,79.97
2009-11-09,83.09
2009-11-16,83.85
2009-11-23,83.6
2009-11-30,83.78
2009-12-07,83.8
2009-12-14,84.12
2009-12-21,85.32
2009-12-28,85.73
2010-01-04,86.38
2010-01-11,87.22
2010-01-18,85.65
2010-01-25,83.15
2010-02-01,82.19
2010-02-08,81.77
2010-02-15,83.8
2010-02-22,84.24
2010-03-01,86.14
2010-03-08,87.8
2010-03-15,88.65
2010-03-22,89.53
2010-03-29,90.08
2010-04-05,90.98
2010-04-12,92.18
2010-04-19,92.18
2010-04-26,92.2
2010-05-03,86.56
2010-05-10,88.43
2010-05-17,84.61
2010-05-24,82.53
2010-05-31,83.43
2010-06-07,82.23
2010-06-14,85.08
2010-06-21,84.77
2010-06-28,80.72
2010-07-05,80.87
2010-07-12,83.45
2010-07-19,83.39
2010-07-26,85.27
2010-08-02,86.34
2010-08-09,85.08
2010-08-16,83.68
2010-08-23,82.03
2010-08-30,83.04
2010-09-06,85.26
2010-09-13,86.82
2010-09-20,87.98
2010-09-27,88.71
2010-10-04,89.13
2010-10-11,90.74
2010-10-18,91.09
2010-10-25,91.83
2010-11-01,93.29
2010-11-08,93.99
2010-11-15,92.46
2010-11-22,92.3
2010-11-29,93.29
2010-12-06,95.7
2010-12-13,96.47
2010-12-20,97.29
2010-12-27,97.85
2011-01-03,98.75
2011-01-10,99.52
2011-01-17,100.01
2011-01-24,100.43
2011-01-31,100.86
2011-02-07,103.05
2011-02-14,104.0
2011-02-21,102.92
2011-02-28,102.84
2011-03-07,102.3
2011-03-14,99.61
2011-03-21,101.78
2011-03-28,103.35
2011-04-04,104.17
2011-04-11,103.16
2011-04-18,103.02
2011-04-25,105.53
2011-05-02,105.7
2011-05-09,105.42
2011-05-16,104.5
2011-05-23,103.76
2011-05-30,103.66
2011-06-06,100.77
2011-06-13,100.18
2011-06-20,100.64
2011-06-27,102.5
2011-07-04,105.67
2011-07-11,103.74
2011-07-18,103.96
2011-07-25,103.18
2011-08-01,97.42
2011-08-08,90.57
2011-08-15,91.87
2011-08-22,91.13
2011-08-29,94.72
2011-09-05,92.51
2011-09-12,92.78
2011-09-19,92.18
2011-09-26,91.89
2011-10-03,88.78
2011-10-10,94.94
2011-10-17,96.15
2011-10-24,99.43
2011-10-31,98.84
2011-11-07,99.13
2011-11-14,98.27
2011-11-21,93.47
2011-11-28,96.94
2011-12-05,99.15
2011-12-12,97.55
2011-12-19,98.01
2011-12-26,100.03
2012-01-02,101.33
2012-01-09,102.24
2012-01-16,103.73
2012-01-23,104.98
2012-01-30,105.25
2012-02-06,107.06
2012-02-13,107.72
2012-02-20,108.44
2012-02-27,108.95
2012-03-05,108.28
2012-03-12,110.5
2012-03-19,111.76
2012-03-26,112.2
2012-04-02,112.42
2012-04-09,110.07
2012-04-16,110.21
2012-04-23,110.53
2012-04-30,111.26
2012-05-07,108.66
2012-05-14,105.9
2012-05-21,105.11
2012-05-28,104.68
