Date,Price
1999-03-08,43.17
1999-03-15,43.92
1999-03-22,42.99
1999-03-29,45.23
1999-04-05,46.86
1999-04-12,45.57
1999-04-19,44.52
1999-04-26,46.45
1999-05-03,44.88
1999-05-10,46.27
1999-05-17,45.73
1999-05-24,43.43
1999-05-31,43.56
1999-06-07,44.85
1999-06-14,45.09
1999-06-21,47.38
1999-06-28,48.81
1999-07-05,50.17
1999-07-12,51.3
1999-07-19,50.37
1999-07-26,48.63
1999-08-02,47.5
1999-08-09,47.11
1999-08-16,49.19
1999-08-23,51.14
1999-08-30,51.43
1999-09-06,53.12
1999-09-13,52.66
1999-09-20,52.1
1999-09-27,51.14
1999-10-04,52.84
1999-10-11,52.99
1999-10-18,51.37
1999-10-25,53.94
1999-11-01,57.22
1999-11-08,59.8
1999-11-15,62.84
1999-11-22,65.15
1999-11-29,65.43
1999-12-06,67.16
1999-12-13,69.32
1999-12-20,74.26
1999-12-27,77.34
2000-01-03,74.9
2000-01-10,76.61
2000-01-17,80.17
2000-01-24,77.64
2000-01-31,77.37
2000-02-07,84.77
2000-02-14,84.77
2000-02-21,86.74
2000-02-28,90.1
2000-03-06,94.82
2000-03-13,91.59
2000-03-20,95.39
2000-03-27,94.94
2000-04-03,84.06
2000-04-10,79.05
2000-04-17,73.07
2000-04-24,74.34
2000-05-01,77.65
2000-05-08,72.48
2000-05-15,73.57
2000-05-22,65.94
2000-05-29,74.05
2000-06-05,78.71
2000-06-12,78.62
2000-06-19,81.36
2000-06-26,79.24
2000-07-03,79.64
2000-07-10,82.57
2000-07-17,84.18
2000-07-24,78.76
2000-07-31,74.96
2000-08-07,77.62
2000-08-14,79.54
2000-08-21,82.5
2000-08-28,85.69
2000-09-04,83.66
2000-09-11,79.24
2000-09-18,77.58
2000-09-25,77.59
2000-10-02,73.01
2000-10-09,67.36
2000-10-16,69.16
2000-10-23,68.6
2000-10-30,67.96
2000-11-06,66.36
2000-11-13,62.3
2000-11-20,58.99
2000-11-27,56.81
2000-12-04,57.58
2000-12-11,58.47
2000-12-18,51.18
2000-12-25,51.29
2001-01-01,49.98
2001-01-08,50.3
2001-01-15,54.87
2001-01-22,56.25
2001-01-29,54.49
2001-02-05,50.71
2001-02-12,48.79
2001-02-19,44.31
2001-02-26,41.83
2001-03-05,40.7
2001-03-12,36.56
2001-03-19,35.47
2001-03-26,34.79
2001-04-02,31.27
2001-04-09,33.48
2001-04-16,38.04
2001-04-23,38.67
2001-04-30,40.24
2001-05-07,39.89
2001-05-14,39.23
2001-05-21,42.4
2001-05-28,39.41
2001-06-04,40.35
2001-06-11,37.58
2001-06-18,36.4
2001-06-25,37.89
2001-07-02,37.45
2001-07-09,35.89
2001-07-16,36.19
2001-07-23,34.79
2001-07-30,36.36
2001-08-06,34.94
2001-08-13,33.81
2001-08-20,32.33
2001-08-27,32.21
2001-09-03,30.16
2001-09-10,28.81
2001-09-17,25.54
2001-09-24,24.63
2001-10-01,25.99
2001-10-08,28.1
2001-10-15,28.95
2001-10-22,29.92
2001-10-29,29.37
2001-11-05,32.17
2001-11-12,32.59
2001-11-19,33.41
2001-11-26,33.91
2001-12-03,34.77
2001-12-10,34.84
2001-12-17,34.14
2001-12-24,34.04
2001-12-31,34.57
2002-01-07,35.21
2002-01-14,33.62
2002-01-21,32.71
2002-01-28,32.46
2002-02-04,31.1
2002-02-11,31.17
2002-02-18,29.18
2002-02-25,29.59
2002-03-04,31.69
2002-03-11,32.26
2002-03-18,31.44
2002-03-25,30.78
2002-04-01,30.26
2002-04-08,28.89
2002-04-15,29.25
2002-04-22,27.68
2002-04-29,26.26
2002-05-06,25.68
2002-05-13,26.95
2002-05-20,26.87
2002-05-27,26.15
2002-06-03,24.59
2002-06-10,23.39
2002-06-17,23.33
2002-06-24,21.79
2002-07-01,21.07
2002-07-08,21.32
2002-07-15,21.37
2002-07-22,19.64
2002-07-29,19.8
2002-08-05,19.16
2002-08-12,20.21
2002-08-19,21.67
2002-08-26,20.66
2002-09-02,19.31
2002-09-09,19.9
2002-09-16,19.03
2002-09-23,18.3
2002-09-30,17.92
2002-10-07,17.94
2002-10-14,19.43
2002-10-21,20.5
2002-10-28,20.76
2002-11-04,22.04
2002-11-11,21.54
2002-11-18,22.67
2002-11-25,23.5
2002-12-02,23.22
2002-12-09,22.01
2002-12-16,21.72
2002-12-23,21.57
2002-12-30,21.28
2003-01-06,22.33
2003-01-13,22.45
2003-01-20,21.49
2003-01-27,21.06
2003-02-03,20.65
2003-02-10,20.41
2003-02-17,21.24
2003-02-24,20.99
2003-03-03,21.05
2003-03-10,21.08
2003-03-17,22.45
2003-03-24,22.44
2003-03-31,22.16
2003-04-07,22.35
2003-04-14,22.34
2003-04-21,23.15
2003-04-28,23.52
2003-05-05,24.12
2003-05-12,24.34
2003-05-19,23.88
2003-05-26,24.59
2003-06-02,25.88
2003-06-09,25.66
2003-06-16,26.07
2003-06-23,25.56
2003-06-30,25.7
2003-07-07,27.01
2003-07-14,27.11
2003-07-21,26.66
2003-07-28,27.06
2003-08-04,26.28
2003-08-11,26.11
2003-08-18,27.5
2003-08-25,27.79
2003-09-01,28.72
2003-09-08,28.75
2003-09-15,29.08
2003-09-22,28.56
2003-09-29,28.45
2003-10-06,29.49
2003-10-13,29.99
2003-10-20,29.35
2003-10-27,29.82
2003-11-03,30.37
2003-11-10,30.17
2003-11-17,29.25
2003-11-24,29.8
2003-12-01,30.26
2003-12-08,29.63
2003-12-15,29.98
2003-12-22,30.39
2003-12-29,31.01
2004-01-05,31.9
2004-01-12,32.47
2004-01-19,32.7
2004-01-26,32.07
2004-02-02,31.44
2004-02-09,31.83
2004-02-16,31.71
2004-02-23,31.15
2004-03-01,31.26
2004-03-08,30.5
2004-03-15,29.92
2004-03-22,29.64
2004-03-29,30.94
2004-04-05,31.58
2004-04-12,31.15
2004-04-19,31.05
2004-04-26,30.67
2004-05-03,30.07
2004-05-10,29.69
2004-05-17,29.65
2004-05-24,30.45
2004-05-31,30.87
2004-06-07,31.32
2004-06-14,31.13
2004-06-21,31.27
2004-06-28,31.74
2004-07-05,30.73
2004-07-12,30.0
2004-07-19,29.68
2004-07-26,29.3
2004-08-02,28.83
2004-08-09,28.04
2004-08-16,28.42
2004-08-23,29.17
2004-08-30,29.19
2004-09-06,29.52
2004-09-13,30.17
2004-09-20,30.07
2004-09-27,29.98
2004-10-04,30.75
2004-10-11,30.38
2004-10-18,30.75
2004-10-25,30.94
2004-11-01,31.93
2004-11-08,32.54
2004-11-15,33.08
2004-11-22,33.2
2004-11-29,33.88
2004-12-06,33.96
2004-12-13,34.12
2004-12-20,33.98
2004-12-27,34.21
2005-01-03,33.75
2005-01-10,33.06
2005-01-17,32.58
2005-01-24,31.71
2005-01-31,32.17
2005-02-07,32.2
2005-02-14,32.57
2005-02-21,31.99
2005-02-28,32.22
2005-03-07,32.38
2005-03-14,31.75
2005-03-21,31.31
2005-03-28,31.31
2005-04-04,31.43
2005-04-11,30.73
2005-04-18,30.23
2005-04-25,30.12
2005-05-02,30.49
2005-05-09,30.86
2005-05-16,31.74
2005-05-23,32.62
2005-05-30,32.94
2005-06-06,32.61
2005-06-13,32.45
2005-06-20,32.34
2005-06-27,31.82
2005-07-04,32.0
2005-07-11,33.05
2005-07-18,33.73
2005-07-25,34.05
2005-08-01,34.25
2005-08-08,33.85
2005-08-15,33.73
2005-08-22,33.33
2005-08-29,33.32
2005-09-05,33.82
2005-09-12,33.98
2005-09-19,33.47
2005-09-26,33.54
2005-10-03,33.48
2005-10-10,32.62
2005-10-17,32.91
2005-10-24,33.22
2005-10-31,33.85
2005-11-07,34.79
2005-11-14,35.3
2005-11-21,35.83
2005-11-28,35.86
2005-12-05,35.97
2005-12-12,36.05
2005-12-19,35.57
2005-12-26,35.39
2006-01-02,35.75
2006-01-09,37.03
2006-01-16,36.23
2006-01-23,36.01
2006-01-30,35.85
2006-02-06,35.22
2006-02-13,35.31
2006-02-20,35.44
2006-02-27,35.8
2006-03-06,35.3
2006-03-13,35.61
2006-03-20,35.76
2006-03-27,35.96
2006-04-03,36.67
2006-04-10,36.36
2006-04-17,36.36
2006-04-24,36.26
2006-05-01,36.04
2006-05-08,35.6
2006-05-15,34.14
2006-05-22,33.59
2006-05-29,33.91
2006-06-05,33.26
2006-06-12,32.79
2006-06-19,33.22
2006-06-26,33.06
2006-07-03,33.08
2006-07-10,31.85
2006-07-17,31.26
2006-07-24,31.51
2006-07-31,31.92
2006-08-07,31.78
2006-08-14,32.69
2006-08-21,33.15
2006-08-28,33.43
2006-09-04,33.63
2006-09-11,34.03
2006-09-18,34.66
2006-09-25,34.85
2006-10-02,35.2
2006-10-09,36.18
2006-10-16,36.4
2006-10-23,36.63
2006-10-30,36.47
2006-11-06,36.92
2006-11-13,37.79
2006-11-20,38.41
2006-11-27,37.98
2006-12-04,38.05
2006-12-11,38.18
2006-12-18,37.95
2006-12-25,37.43
2007-01-01,37.54
2007-01-08,38.51
2007-01-15,38.65
2007-01-22,37.98
2007-01-29,37.97
2007-02-05,38.24
2007-02-12,38.28
2007-02-19,38.94
2007-02-26,37.97
2007-03-05,36.96
2007-03-12,36.95
2007-03-19,37.85
2007-03-26,37.86
2007-04-02,38.06
2007-04-09,38.41
2007-04-16,39.14
2007-04-23,39.85
2007-04-30,40.08
2007-05-07,40.29
2007-05-14,40.18
2007-05-21,40.42
2007-05-28,40.76
2007-06-04,40.62
2007-06-11,40.85
2007-06-18,41.17
2007-06-25,40.99
2007-07-02,41.86
2007-07-09,42.6
2007-07-16,43.47
2007-07-23,42.6
2007-07-30,41.59
2007-08-06,41.47
2007-08-13,39.99
2007-08-20,40.87
2007-08-27,41.51
2007-09-03,42.45
2007-09-10,42.12
2007-09-17,42.98
2007-09-24,44.23
2007-10-01,45.2
2007-10-08,46.06
2007-10-15,46.09
2007-10-22,46.06
2007-10-29,47.12
